ForceInput_x_T[0],ForceInput_x_T[1],ForceInput_x_T[2],ForceInput_x_T[3],ForceInput_x_T[4],ForceInput_x_T[5]
-2029.7751958883307,5135.896271778421,6130.237794924454,-1921.5171251394613,-2589.440047137464,-4374.983525783694
41271.6049827703,-4841.99646008553,-14688.617639409664,-33891.66646378837,-23425.319393832106,35880.17027522862
48706.47926316707,-6128.458995963815,-22789.597424239142,-38035.45162737772,-29405.755205027497,47576.740157944594
36916.13475642719,-13745.081082941902,-21348.112111904105,-23940.94706851805,-12510.547574530203,34732.34262422784
34136.59504304111,-16024.93715187048,-23554.180394670173,-19698.995198344765,-9228.104036732466,34406.61602868037
27052.968257477583,-4989.6384813238465,-11764.876917462956,-20871.87877086057,-14032.253275769295,24668.363960835577
26969.91693582362,-5164.333216471626,-10307.796664179807,-21292.196498700127,-13137.972943769702,22856.3385583393
26222.220999277113,-5342.727850716571,-4313.184305561798,-22751.868623831066,-10343.469374184719,16283.428146274799
17295.969486148868,-6178.932396058892,-2196.3265840635613,-14311.548660211462,-3283.1804749379894,8484.936681350071
21692.760783420545,-6133.616960510696,-5816.357083406054,-17410.403071829183,-7290.726196011679,14764.122483610818
21635.105429068102,-2565.0488889330845,-8951.47092700005,-17270.70519382831,-12673.69321673595,20068.33094380036
21255.00572580439,-14487.561362026116,-11829.858243726769,-11685.582829543437,832.865901638489,15726.048859437778
27967.154697384445,-32555.574679866542,-33623.78474906586,-3609.809456584593,10975.578854500003,31243.09637005365
33764.6471431737,-35771.56619971478,-37565.88030456412,-6983.541714141062,9943.929021587745,36875.482583855155
36840.305965287815,-35366.21280266896,-33595.86158433454,-11709.869640934652,8995.888097765897,34826.501387454155
