ForceInput_x_T[0],ForceInput_x_T[1],ForceInput_x_T[2],ForceInput_x_T[3],ForceInput_x_T[4],ForceInput_x_T[5]
71775.61985092603,82075.18767756295,48854.040485939055,-118932.82645803678,-123207.95739285895,39266.37865050975
72670.87544124831,81176.0937272377,54137.127006559305,-121348.3597487356,-120664.97625536681,33936.754088880756
56711.1246632301,86156.25195384007,54395.82938123794,-107343.95541633586,-117325.3405039463,27303.327990283087
69081.76299220251,83326.80908477434,49545.78938918801,-116950.73357667276,-123038.31502167767,37762.368019058995
58476.81881061533,68646.86627656913,41141.316266618436,-97975.2803306135,-102182.73817594373,31528.21230584837
65002.35541139206,77564.80520865067,49167.9510792721,-110788.80521955344,-113742.17453259628,32405.372723728015
61179.3611991609,78949.31801380057,51416.07771305441,-108129.15816276518,-112284.61155609306,28689.17941528349
46147.96436503619,80974.22922043188,55446.832953071294,-95504.53884544146,-104632.93110146142,17147.11950288646
59353.12165436773,76159.70714263918,46757.36150431475,-103806.81703791473,-109802.8297172547,30722.884884869774
63095.17247563614,73057.81646860499,47919.200254368785,-106873.84290356886,-107858.96639554508,29936.148507605518
67629.1606041374,71051.8729856089,41332.16305170878,-108154.7154515037,-110304.00012597317,38075.5759919174
84167.07820036165,62865.25946665781,27851.716087218614,-116813.70669556462,-114953.31742757515,56446.23217009056
