ForceInput_x_T[0],ForceInput_x_T[1],ForceInput_x_T[2],ForceInput_x_T[3],ForceInput_x_T[4],ForceInput_x_T[5]
63145.81605390068,40955.06201040339,14624.81118682542,-83196.21491855112,-81212.92740997365,45344.33871126204
62896.171499093936,63867.14181775512,33927.31494827259,-98313.11783578357,-101700.94424352399,38562.99554622283
58973.289812255614,56940.15215249508,30160.74999342551,-90323.30589644302,-92310.03057754795,36307.3777887203
46838.7014775386,59999.920239293344,38244.44027240589,-82308.43308300374,-86104.71009498948,22934.44776470116
44818.09879448054,58907.639006034224,42081.20790166249,-81147.09318772555,-82058.69634358797,17373.153344083006
-81485.57648537759,77135.39784800605,95346.54236865725,18572.514239423457,-10986.41161942872,-98978.0997617429
23161.906225223935,58698.76295433885,45317.962173640204,-60693.32078478242,-67960.09942360579,1490.203143116385
14793.757723174982,61307.09379102995,51818.49317445654,-55788.35206578969,-63916.658393247446,-8522.62001195135
-73497.54196352616,65009.72596843112,85315.34016715974,18657.08464320861,-4547.900165570005,-91224.44203728513
