ForceInput_x_T[0],ForceInput_x_T[1],ForceInput_x_T[2],ForceInput_x_T[3],ForceInput_x_T[4],ForceInput_x_T[5]
-109860.8717711124,48046.66841372807,81633.76074935755,62902.659314851306,36136.53231386154,-117822.90878019619
-45437.06908849677,38742.54678344282,44168.50678765574,15779.484260535279,-3862.4607022069504,-48165.058242064515
-126887.85590423617,57099.158812255584,88679.29416427815,74252.56853399579,38041.467980734946,-129604.15512980186
-140284.64809357727,63544.37543826765,101679.94474220253,80320.16211382864,42522.09853685633,-146715.26391561967
-92430.20699118955,54661.70850522395,73222.80658584402,46192.9712623106,15115.052893695163,-95685.38724654837
29142.04093759578,26115.020745908303,17369.455786777806,-44122.50064562322,-41828.57097731849,14586.470618655982
26234.824720083314,26832.166950948143,10106.21026864554,-38812.463175144876,-43600.78993735004,20661.248626086915
37158.373131832814,21622.573704820825,10879.076330155964,-47958.579593779774,-43084.77365575837,23184.746666608076
-18772.851090671516,35635.01997008372,35735.16368991303,-6290.231174741566,-18344.474560580704,-26140.657858925293
-28029.508378099414,36657.44906905867,41135.106442402546,385.74284738273127,-12454.082863588033,-36258.095368730676
-36091.870642439295,41252.983348961236,41198.646656061435,6886.922499417364,-13203.971976721226,-38292.674257777966
-67722.14954520926,45876.98764439267,61251.858458659975,29458.551556578448,7007.070733962719,-74219.90704822665
-69141.79115669013,51911.85690961682,69622.49620225572,25678.23582789272,3746.6962526443494,-79908.17741668377
-71901.20461754031,51379.65741584437,64349.205735881085,30374.760141051054,3849.275079366438,-76640.77248342887
-91029.42134627761,51345.17735147991,69330.83572148203,47443.47281805173,16778.201675956905,-92888.94504262129
-87727.38042978782,61144.20685473278,69789.18227284036,40814.7100250987,3484.7633241737494,-85555.06065574502
-87648.53666794139,63758.50527630382,82913.0001252722,34905.11885630658,5124.183010661101,-97250.85400334164
-125801.3566160629,76875.97701799293,104986.14629487692,60155.488326369,19430.479313747615,-133829.9034464934
-136044.8356925229,81340.7973523479,109722.26810717324,66817.10424016701,21665.075269581284,-142217.94040769484
-151114.82999547786,78656.46394919994,110654.89817140461,82676.46724304363,34152.37634501069,-153480.8639278849
-204527.93940552903,87902.7375319782,130921.33914234636,125029.21199580847,61356.376876491806,-199445.50013256667
-84023.83753300288,63468.06145917837,79836.74500117733,32527.83078695852,2083.0738272431627,-92177.80458305837
-40663.06091713779,43506.535878013165,49591.043575311196,7569.2752262037175,-10050.693650086192,-48280.135929529824
-46468.90520356462,49302.23359602573,55097.71896016021,9261.273629495503,-11691.018741879605,-53699.885647612995
-132846.55841322898,62910.81433363794,96339.16763484517,75432.42565127483,37341.30840168169,-137375.74100635014
-104477.63318590801,57810.59451235952,85535.25046859097,52848.3204775647,23054.176847604274,-113092.60683406268
-125631.1495616351,64599.12141460244,95882.97714523714,67671.42707455312,30805.574334170942,-131747.47194963865
-111803.47328143312,58577.45554843711,83808.20220870653,60350.800702013614,25535.87500173503,-115242.91037330651
-102302.80879479388,56172.82689411826,84108.43080944088,51483.79934143816,22793.373860909673,-111384.20095517354
-84147.29621738059,63506.54527431949,85021.46505804124,30789.444642693587,4000.586805342733,-97302.53371315707
-66782.97015839949,61002.775854701715,68438.13517846943,20161.229296294645,-9413.292417128469,-72313.5184581475
-33147.27266497905,49676.45538567126,60368.50890153081,-6276.288826843454,-18108.720370308532,-51297.00881938104
-42010.67211464842,60755.72518184282,69189.84456413437,-4535.514161308896,-23100.775945735862,-58687.30049726158
-121375.77124334559,74212.59652336901,101682.85583540706,57945.45514583664,18845.069675708517,-129755.41796184746
-38387.33479171494,62279.04698776843,64657.13100711514,-6897.798103000263,-28372.094588874843,-51338.80531720984
