count, Time, ForceInput_x_T[0], ForceInput_x_T[1], ForceInput_x_T[2], ForceInput_x_T[3], ForceInput_x_T[4], ForceInput_x_T[5] 
1,1727828921.6744010.0,0.0,0.0,0.0,0.0,0.0
2,1727828921.67482230.0,0.0,0.0,0.0,0.0,0.0
3,1727828921.675357-228327.42727690167,256544.93369984525,79149.83420594689,97563.84293340477,-131323.57503779166,0.0
4,1727828921.67589120.0,0.0,0.0,0.0,0.0,0.0
5,1727828921.676319-229883.49788533128,257585.91855254973,79356.08784557147,96919.32539131786,-131817.27268830966,0.0
6,1727828921.6767251-228638.6413985876,255735.2788144084,79562.34148519608,96516.50192751354,-132557.81916408666,0.0
7,1727828921.6770540.0,0.0,0.0,0.0,0.0,0.0
8,1727828921.6773808-228846.11747971154,255966.608781676,78273.25623754223,96073.39611732881,-132002.40930725393,0.0
9,1727828921.6777086-228016.21315521575,255503.9488471407,78892.01715641608,96959.60773769829,-131940.69710093917,0.0
10,1727828921.6780355-228016.21315521575,256082.2737653099,80077.97558425766,97402.71354788305,-132249.2581325129,0.0
11,1727828921.67833470.0,0.0,0.0,0.0,0.0,0.0
12,1727828921.67866-229468.54572308337,256776.2636671129,79252.96102575917,96798.47835217658,-133421.79005249322,0.0
13,1727828921.67898-229779.7598447693,257585.91855254973,78737.32692669763,97120.73712322002,-133113.22902091945,0.0
14,1727828921.67924280.0,0.0,0.0,0.0,0.0,0.0
15,1727828921.6795347-230194.71200701717,256776.2636671129,78170.12941772993,97241.58416236131,-131817.27268830966,0.0
16,1727828921.679839-227290.04687128193,257470.25356891588,78324.8196474484,97241.58416236131,-131261.8628314769,0.0
17,1727828921.68016-226045.19038453826,256197.93874894374,79510.77807528994,97402.71354788305,-131508.7116567359,0.0
18,1727828921.68042420.0,0.0,0.0,0.0,0.0,0.0
19,1727828921.7503593-228327.42727690167,254809.95894533768,77396.67826913761,97080.45477683959,-131817.27268830966,0.0
20,1727828921.8452582-229157.33160139745,254578.62897807002,77345.11485923146,96959.60773769829,-131508.7116567359,0.0
21,1727828921.939658-228846.11747971154,254578.62897807002,78015.43918801149,96879.04304493743,-131817.27268830966,0.0
22,1727828922.0347240.0,0.0,0.0,0.0,0.0,0.0
23,1727828922.129412-228327.42727690167,258279.90845435276,77706.05872857456,96798.47835217658,-131138.43841884742,0.0
24,1727828922.2242427-228431.16531746366,256660.59868347904,77551.36849885609,96999.89008407874,-131508.7116567359,0.0
