count, Time, ForceInput_x_T[0], ForceInput_x_T[1], ForceInput_x_T[2], ForceInput_x_T[3], ForceInput_x_T[4], ForceInput_x_T[5] 
1,1727830467.92039350.0,0.0,0.0,0.0,0.0,0.0
2,1727830467.9210331-228119.95119577774,256891.92865074673,78531.07328707301,97281.86650874173,-132310.97033882767,0.0
3,1727830468.1073768-227290.04687128193,258048.57848708506,78221.69282763608,96919.32539131786,-131261.8628314769,0.0
4,1727830468.1075356-227912.47511465382,260014.8832088603,78221.69282763608,96959.60773769829,-132434.3947514572,0.0
5,1727830468.2173624-228431.16531746366,258858.2333725219,78273.25623754223,97201.3018159809,-132804.6679893457,0.0
6,1727830468.2177265-228016.21315521575,256776.2636671129,77963.87577810533,97402.71354788305,-132804.6679893457,0.0
7,1727830468.3266222-228431.16531746366,254462.9639944362,78015.43918801149,97724.97231892649,-131632.13606936543,0.0
8,1727830468.32697560.0,0.0,0.0,0.0,0.0,0.0
9,1727830468.43502710.0,0.0,0.0,0.0,0.0,0.0
10,1727830468.43550470.0,0.0,0.0,0.0,0.0,0.0
11,1727830468.5440457-228846.11747971154,255850.94379804222,78943.58056632226,97523.56058702435,-132372.68254514242,0.0
12,1727830468.54440380.0,0.0,0.0,0.0,0.0,0.0
13,1727830468.65435360.0,0.0,0.0,0.0,0.0,0.0
14,1727830468.6549501-228119.95119577774,254809.95894533768,78634.20010688531,97161.01946960045,-131385.2872441064,0.0
