count, Time, ForceInput_x_T[0], ForceInput_x_T[1], ForceInput_x_T[2], ForceInput_x_T[3], ForceInput_x_T[4], ForceInput_x_T[5] 
1,1727830073.0908330.0,0.0,0.0,0.0,0.0,0.0
2,1727830073.0913703-227393.78491184395,257238.92360164825,78582.63669697917,97684.68997254607,-132866.38019566046,0.0
3,1727830073.2743032-227186.30883072,255850.94379804222,78324.8196474484,96798.47835217658,-132804.6679893457,0.0
4,1727830073.2745457-226356.4045062242,255272.61887987304,78582.63669697917,96516.50192751354,-132249.2581325129,0.0
5,1727830073.3798845-228534.90335802562,256429.2687162114,78221.69282763608,97442.99589426348,-131693.84827568015,0.0
6,1727830073.38031150.0,0.0,0.0,0.0,0.0,0.0
7,1727830073.4894505-225941.4523439763,253537.64412536554,78273.25623754223,97241.58416236131,-132249.2581325129,0.0
8,1727830073.4898984-225941.4523439763,256197.93874894374,78067.00259791763,97120.73712322002,-132002.40930725393,0.0
9,1727830073.598481-227186.30883072,255850.94379804222,77809.18554838686,96999.89008407874,-132249.2581325129,0.0
10,1727830073.5994492-227393.78491184395,257007.59363438058,78118.56600782377,97080.45477683959,-132619.53137040144,0.0
11,1727830073.7087624-227601.26099296787,258279.90845435276,79717.03171491456,97523.56058702435,-133174.9412272342,0.0
12,1727830073.7091792-228327.42727690167,257470.25356891588,79974.84876444533,97402.71354788305,-132064.12151356868,0.0
13,1727830073.8208222-227912.47511465382,260014.8832088603,80902.99014275611,97281.86650874173,-132002.40930725393,0.0
14,1727830073.821199-227704.99903352984,260014.8832088603,79871.72194463303,96476.21958113313,-132434.3947514572,0.0
15,1727830073.930911-227290.04687128193,258164.2434707189,78582.63669697917,96597.06662027442,-133051.5168146047,0.0
16,1727830073.9312732-226148.92842510028,258164.2434707189,77448.24167904377,97120.73712322002,-132310.97033882767,0.0
17,1727830074.041443-227290.04687128193,255388.28386350686,76777.91735026377,97402.71354788305,-131878.98489462445,0.0
18,1727830074.0421002-228327.42727690167,253768.97409263317,76829.48076016991,97161.01946960045,-133051.5168146047,0.0
19,1727830074.15170050.0,0.0,0.0,0.0,0.0,0.0
20,1727830074.1520643-228223.6892363397,253884.63907626702,76777.91735026377,96959.60773769829,-132496.10695777193,0.0
21,1727830074.2611208-228327.42727690167,254115.9690435347,76984.17098988837,97281.86650874173,-132249.2581325129,0.0
22,1727830074.2615411-228742.37943914958,254347.29901080238,76984.17098988837,97442.99589426348,-132619.53137040144,0.0
23,1727830074.3707986-227912.47511465382,255272.61887987304,76984.17098988837,97563.84293340477,-132434.3947514572,0.0
24,1727830074.3711383-228327.42727690167,255041.28891260538,78015.43918801149,98006.94874358951,-132928.09240197518,0.0
25,1727830074.4806712-228949.85552027353,257007.59363438058,78376.38305735454,98168.07812911124,-132928.09240197518,0.0
26,1727830074.4812765-229261.06964195945,257238.92360164825,78479.50987716686,97604.12527978518,-132249.2581325129,0.0
27,1727830074.5908709-229987.23592589324,257123.2586180144,78995.1439762284,97523.56058702435,-131632.13606936543,0.0
28,1727830074.59122-227393.78491184395,256197.93874894374,78634.20010688531,97120.73712322002,-131940.69710093917,0.0
29,1727830074.7004216-229364.80768252138,255388.28386350686,78427.9464672607,97523.56058702435,-131632.13606936543,0.0
30,1727830074.7007816-228016.21315521575,258395.57343798658,77396.67826913761,97724.97231892649,-131138.43841884742,0.0
31,1727830074.8100321-227290.04687128193,258164.2434707189,77190.424629513,98047.23108996994,-131323.57503779166,0.0
32,1727830074.8105419-228016.21315521575,257007.59363438058,78118.56600782377,97805.53701168734,-132187.5459261982,0.0
33,1727830074.9191542-228431.16531746366,257007.59363438058,77396.67826913761,97563.84293340477,-133298.3656398637,0.0
