count, Time, ForceInput_x_T[0], ForceInput_x_T[1], ForceInput_x_T[2], ForceInput_x_T[3], ForceInput_x_T[4], ForceInput_x_T[5] 
1,1727829264.47451070.0,0.0,0.0,0.0,0.0,0.0
2,1727829264.4752219-228016.21315521575,256660.59868347904,79046.70738613456,97684.68997254607,-131755.56048199488,0.0
3,1727829264.651601-228431.16531746366,256429.2687162114,78788.89033660378,97724.97231892649,-130891.58959358842,0.0
4,1727829264.6520145-227912.47511465382,255272.61887987304,78634.20010688531,96597.06662027442,-131323.57503779166,0.0
5,1727829264.7582638-226045.19038453826,257585.91855254973,79098.27079604071,96355.37254199183,-132187.5459261982,0.0
6,1727829264.75858640.0,0.0,0.0,0.0,0.0,0.0
7,1727829264.8683243-228327.42727690167,256313.60373257755,78892.01715641608,97040.17243045916,-132557.81916408666,0.0
8,1727829264.8687341-228846.11747971154,255850.94379804222,79149.83420594689,97201.3018159809,-133051.5168146047,0.0
9,1727829264.9777331-228846.11747971154,255850.94379804222,79768.59512482071,97362.43120150261,-132187.5459261982,0.0
10,1727829264.9780912-229261.06964195945,255966.608781676,79871.72194463303,97402.71354788305,-131261.8628314769,0.0
