count, Time, ForceInput_x_T[0], ForceInput_x_T[1], ForceInput_x_T[2], ForceInput_x_T[3], ForceInput_x_T[4], ForceInput_x_T[5] 
1,1727829467.41836260.0,0.0,0.0,0.0,0.0,0.0
2,1727829467.4189866-226148.92842510028,254231.63402716853,77860.748958293,97523.56058702435,-131632.13606936543,0.0
3,1727829467.6162393-224800.3338977946,253884.63907626702,77912.31236819917,97402.71354788305,-132125.83371988343,0.0
4,1727829467.616604-227912.47511465382,255619.61383077456,78685.76351679147,97442.99589426348,-131693.84827568015,0.0
5,1727829467.7223616-227186.30883072,257238.92360164825,78943.58056632226,97040.17243045916,-131693.84827568015,0.0
6,1727829467.72272520.0,0.0,0.0,0.0,0.0,0.0
7,1727829467.832506-228638.6413985876,256544.93369984525,77396.67826913761,97080.45477683959,-131385.2872441064,0.0
8,1727829467.832898-229468.54572308337,256197.93874894374,77963.87577810533,96919.32539131786,-132249.2581325129,0.0
9,1727829467.9420688-231335.83045319887,254347.29901080238,77963.87577810533,97201.3018159809,-133298.3656398637,0.0
10,1727829467.9425511-229572.28376364536,254115.9690435347,77706.05872857456,96879.04304493743,-132496.10695777193,0.0
